cohort_date,activity_week,retained_users
20-01-2002,201620,2
20-01-2002,201625,2
20-01-2002,201629,3
20-01-2002,201633,1
20-01-2002,201720,1
20-01-2002,201725,2
20-01-2002,201729,4
20-01-2002,201824,2
20-01-2002,201828,1
20-01-2002,201924,8
20-01-2002,201933,1
20-01-2002,202024,1
20-01-2002,202033,1
20-01-2002,202120,3
20-01-2002,202125,1
20-01-2002,202133,1
20-01-2002,202220,4
20-01-2002,202229,1
20-01-2002,202233,1
20-01-2002,202320,1
20-01-2002,202329,1
20-01-2002,202420,1
20-01-2002,202428,1
20-01-2002,202520,1
20-01-2002,202620,2
20-01-2002,202624,2
20-01-2002,202629,1
20-01-2002,202633,1
20-01-2002,202720,2
20-01-2002,202725,1
20-01-2002,202820,1
20-01-2002,202825,1
20-01-2002,202829,1
20-01-2002,202834,1
20-01-2002,202920,2
20-01-2002,203020,1
20-01-2002,203024,1
20-01-2002,203028,1
20-01-2002,203120,1
20-01-2002,203129,2
20-02-2002,200133,1
20-02-2002,200224,1
20-02-2002,200329,1
20-02-2002,200429,1
20-02-2002,200520,1
20-02-2002,200525,1
20-02-2002,200625,1
20-02-2002,200728,1
20-02-2002,200733,1
20-02-2002,200820,1
20-02-2002,201025,1
20-02-2002,201129,1
20-02-2002,201133,1
20-02-2002,201221,2
20-02-2002,201225,1
20-02-2002,201234,1
20-02-2002,201333,2
20-02-2002,201420,1
20-02-2002,201429,1
20-02-2002,201433,1
20-02-2002,201529,1
20-02-2002,201629,1
20-02-2002,201720,1
20-02-2002,201729,1
20-02-2002,201828,1
20-02-2002,201833,1
20-02-2002,201920,1
20-02-2002,201928,1
20-02-2002,202020,1
20-02-2002,202033,1
20-02-2002,202129,1
20-02-2002,202229,1
20-02-2002,202325,2
20-02-2002,202329,1
20-02-2002,202424,1
20-02-2002,202428,1
20-02-2002,202524,1
20-02-2002,202529,1
20-02-2002,202725,1
20-02-2002,202820,1
20-02-2002,202829,1
20-02-2002,202920,2
20-02-2002,203020,2
20-02-2002,203024,1
20-03-2002,200133,1
20-03-2002,200220,1
20-03-2002,200224,1
20-03-2002,200324,1
20-03-2002,200425,1
20-03-2002,200433,1
20-03-2002,200520,1
20-03-2002,200533,1
20-03-2002,200620,1
20-03-2002,200625,1
20-03-2002,200720,1
20-03-2002,200733,1
20-03-2002,200833,1
20-03-2002,200924,1
20-03-2002,201133,1
20-03-2002,201333,1
20-03-2002,201424,1
20-03-2002,201433,1
20-03-2002,201633,1
20-03-2002,201833,1
20-03-2002,201924,1
20-03-2002,202024,1
20-03-2002,202033,1
20-03-2002,202133,1
20-03-2002,202233,1
20-03-2002,202424,1
20-03-2002,202533,1
20-03-2002,202620,1
20-03-2002,202829,1
20-03-2002,202834,1
20-03-2002,202920,1
20-03-2002,203020,1
20-03-2002,203024,1
20-04-2002,200128,2
20-04-2002,200133,1
20-04-2002,200220,3
20-04-2002,200224,2
20-04-2002,200228,3
20-04-2002,200233,1
20-04-2002,200324,2
20-04-2002,200333,1
20-04-2002,200425,5
20-04-2002,200429,3
20-04-2002,200433,1
20-04-2002,200520,1
20-04-2002,200525,1
20-04-2002,200533,1
20-04-2002,200625,1
20-04-2002,200629,1
20-04-2002,200634,4
20-04-2002,200720,2
20-04-2002,200724,1
20-04-2002,200728,2
20-04-2002,200733,1
20-04-2002,200833,1
20-04-2002,200920,2
20-04-2002,200924,1
20-04-2002,200929,5
20-04-2002,200933,2
20-04-2002,201020,1
20-04-2002,201025,2
20-04-2002,201029,2
20-04-2002,201125,4
20-04-2002,201129,1
20-04-2002,201133,1
20-04-2002,201225,2
20-04-2002,201229,1
20-04-2002,201320,1
20-04-2002,201324,1
20-04-2002,201333,1
20-04-2002,201420,4
20-04-2002,201429,2
20-04-2002,201433,1
20-04-2002,201520,3
20-04-2002,201533,1
20-04-2002,201629,3
20-04-2002,201720,1
20-04-2002,201725,2
20-04-2002,201824,4
20-04-2002,201828,2
20-04-2002,201924,1
20-04-2002,201928,2
20-04-2002,201933,1
20-04-2002,202020,2
20-04-2002,202024,1
20-04-2002,202033,3
20-04-2002,202120,6
20-04-2002,202129,1
20-04-2002,202133,1
20-04-2002,202220,2
20-04-2002,202229,1
20-04-2002,202320,3
20-04-2002,202325,2
20-04-2002,202424,2
20-04-2002,202428,2
20-04-2002,202524,6
20-04-2002,202529,1
20-04-2002,202720,1
20-04-2002,202725,3
20-04-2002,202733,1
20-04-2002,202820,3
20-04-2002,202825,1
20-04-2002,202924,1
20-04-2002,202928,2
20-04-2002,202933,2
20-04-2002,203020,1
20-04-2002,203024,2
20-04-2002,203028,6
20-04-2002,203033,1
20-04-2002,203120,2
20-04-2002,203129,2
20-05-2002,200220,30
20-05-2002,200224,1
20-05-2002,200228,1
20-05-2002,200233,1
20-05-2002,200320,1
20-05-2002,200329,3
20-05-2002,200420,1
20-05-2002,200429,4
20-05-2002,200525,1
20-05-2002,200620,26
20-05-2002,200625,5
20-05-2002,200629,1
20-05-2002,200634,1
20-05-2002,200720,5
20-05-2002,200820,4
20-05-2002,200829,1
20-05-2002,200833,1
20-05-2002,200920,5
20-05-2002,200924,1
20-05-2002,200929,1
20-05-2002,201025,1
20-05-2002,201029,2
20-05-2002,201033,1
20-05-2002,201129,1
20-05-2002,201221,2
20-05-2002,201225,3
20-05-2002,201229,1
20-05-2002,201320,5
20-05-2002,201324,3
20-05-2002,201333,1
20-05-2002,201429,1
20-05-2002,201520,5
20-05-2002,201524,1
20-05-2002,201529,2
20-05-2002,201533,2
20-05-2002,201620,4
20-05-2002,201625,2
20-05-2002,201629,1
20-05-2002,201633,1
20-05-2002,201720,3
20-05-2002,201725,1
20-05-2002,201729,1
20-05-2002,201824,1
20-05-2002,201828,2
20-05-2002,201833,1
20-05-2002,201920,2
20-05-2002,202020,3
20-05-2002,202024,5
20-05-2002,202120,3
20-05-2002,202125,1
20-05-2002,202133,2
20-05-2002,202220,4
20-05-2002,202320,2
20-05-2002,202329,1
20-05-2002,202420,1
20-05-2002,202428,1
20-05-2002,202529,2
20-05-2002,202720,2
20-05-2002,202725,2
20-05-2002,202820,1
20-05-2002,202825,2
20-05-2002,202829,1
20-05-2002,202834,2
20-05-2002,202920,1
20-05-2002,202928,1
20-05-2002,202933,1
20-05-2002,203020,3
20-05-2002,203120,1
20-06-2002,200128,2
20-06-2002,200133,2
20-06-2002,200224,33
20-06-2002,200228,1
20-06-2002,200233,1
20-06-2002,200324,2
20-06-2002,200333,1
20-06-2002,200429,1
20-06-2002,200433,3
20-06-2002,200529,1
20-06-2002,200533,1
20-06-2002,200625,25
20-06-2002,200634,1
20-06-2002,200724,3
20-06-2002,200728,5
20-06-2002,200824,1
20-06-2002,200829,2
20-06-2002,200924,5
20-06-2002,201025,4
20-06-2002,201029,1
20-06-2002,201033,1
20-06-2002,201125,5
20-06-2002,201129,2
20-06-2002,201133,2
20-06-2002,201225,3
20-06-2002,201234,1
20-06-2002,201324,4
20-06-2002,201333,1
20-06-2002,201429,2
20-06-2002,201524,1
20-06-2002,201533,1
20-06-2002,201625,6
20-06-2002,201629,2
20-06-2002,201633,2
20-06-2002,201725,3
20-06-2002,201729,1
20-06-2002,201824,6
20-06-2002,201828,1
20-06-2002,201833,4
20-06-2002,201924,4
20-06-2002,201928,1
20-06-2002,202024,4
20-06-2002,202029,1
20-06-2002,202129,3
20-06-2002,202225,1
20-06-2002,202233,1
20-06-2002,202325,2
20-06-2002,202329,2
20-06-2002,202428,3
20-06-2002,202524,1
20-06-2002,202529,2
20-06-2002,202533,1
20-06-2002,202624,2
20-06-2002,202633,1
20-06-2002,202725,2
20-06-2002,202829,6
20-06-2002,202834,1
20-06-2002,202928,1
20-06-2002,203024,3
20-06-2002,203028,1
20-06-2002,203129,1
20-07-2002,200120,1
20-07-2002,200128,1
20-07-2002,200133,2
20-07-2002,200224,1
20-07-2002,200228,40
20-07-2002,200329,1
20-07-2002,200529,1
20-07-2002,200533,1
20-07-2002,200620,2
20-07-2002,200629,34
20-07-2002,200634,4
20-07-2002,200720,2
20-07-2002,200728,7
20-07-2002,200733,2
20-07-2002,200829,5
20-07-2002,200833,1
20-07-2002,200929,14
20-07-2002,200933,1
20-07-2002,201025,1
20-07-2002,201029,9
20-07-2002,201033,1
20-07-2002,201120,1
20-07-2002,201129,12
20-07-2002,201133,1
20-07-2002,201221,1
20-07-2002,201225,1
20-07-2002,201229,2
20-07-2002,201234,1
20-07-2002,201320,2
20-07-2002,201328,2
20-07-2002,201333,4
20-07-2002,201420,1
20-07-2002,201424,1
20-07-2002,201429,4
20-07-2002,201433,1
20-07-2002,201520,1
20-07-2002,201529,5
20-07-2002,201533,3
20-07-2002,201629,5
20-07-2002,201633,3
20-07-2002,201729,4
20-07-2002,201824,1
20-07-2002,201828,12
20-07-2002,201920,1
20-07-2002,201924,1
20-07-2002,201928,1
20-07-2002,201933,2
20-07-2002,202020,2
20-07-2002,202024,1
20-07-2002,202029,1
20-07-2002,202033,1
20-07-2002,202120,1
20-07-2002,202125,1
20-07-2002,202129,2
20-07-2002,202133,1
20-07-2002,202220,1
20-07-2002,202229,6
20-07-2002,202233,1
20-07-2002,202329,3
20-07-2002,202334,1
20-07-2002,202424,1
20-07-2002,202428,2
20-07-2002,202529,4
20-07-2002,202533,1
20-07-2002,202620,1
20-07-2002,202629,2
20-07-2002,202720,1
20-07-2002,202733,2
20-07-2002,202829,1
20-07-2002,202834,1
20-07-2002,202920,1
20-07-2002,202928,2
20-07-2002,202933,1
20-07-2002,203028,3
20-07-2002,203129,3
20-08-2002,200133,2
20-08-2002,200220,2
20-08-2002,200233,13
20-08-2002,200329,1
20-08-2002,200429,2
20-08-2002,200433,2
20-08-2002,200520,1
20-08-2002,200525,1
20-08-2002,200533,1
20-08-2002,200620,1
20-08-2002,200634,9
20-08-2002,200720,2
20-08-2002,200733,2
20-08-2002,200833,1
20-08-2002,200920,2
20-08-2002,201033,1
20-08-2002,201133,4
20-08-2002,201229,1
20-08-2002,201234,3
20-08-2002,201324,1
20-08-2002,201333,2
20-08-2002,201520,2
20-08-2002,201533,4
20-08-2002,201620,1
20-08-2002,201734,1
20-08-2002,201820,1
20-08-2002,201833,1
20-08-2002,202024,1
20-08-2002,202033,3
20-08-2002,202120,1
20-08-2002,202133,2
20-08-2002,202220,1
20-08-2002,202233,3
20-08-2002,202325,1
20-08-2002,202334,1
20-08-2002,202524,1
20-08-2002,202529,1
20-08-2002,202533,4
20-08-2002,202624,1
20-08-2002,202633,2
20-08-2002,202725,1
20-08-2002,202834,4
20-08-2002,202933,1
20-08-2002,203020,1
20-09-2002,201429,2
20-09-2002,202329,1
20-09-2002,202529,1
20-09-2002,202629,1
20-09-2002,202928,1
20-10-2002,200120,1
20-10-2002,200133,1
20-10-2002,200224,1
20-10-2002,200228,3
20-10-2002,200329,1
20-10-2002,200529,1
20-10-2002,200620,1
20-10-2002,200634,1
20-10-2002,200929,1
20-10-2002,201129,1
20-10-2002,201333,2
20-10-2002,201420,1
20-10-2002,201629,1
20-10-2002,202033,1
20-10-2002,202120,1
20-10-2002,202220,1
20-10-2002,202329,1
20-10-2002,202334,1
20-10-2002,202428,1
20-10-2002,202633,1
20-10-2002,202729,1
20-10-2002,202733,1
20-10-2002,202820,1
20-10-2002,202829,1
20-10-2002,202834,1
20-10-2002,202920,1
20-10-2002,202928,1
20-10-2002,203020,1
20-10-2002,203028,1
20-10-2002,203033,2
20-10-2002,203120,1
20-11-2002,200728,1
20-11-2002,200929,1
20-11-2002,201029,1
20-11-2002,201129,1
20-11-2002,201828,1
20-11-2002,201928,1
20-11-2002,202325,1
20-11-2002,202428,1
20-11-2002,202529,1
20-11-2002,202725,1
20-12-2002,200128,1
20-12-2002,200329,1
20-12-2002,200520,1
20-12-2002,200529,1
20-12-2002,200728,1
20-12-2002,200820,1
20-12-2002,200924,1
20-12-2002,201020,1
20-12-2002,201221,2
20-12-2002,201320,1
20-12-2002,201333,1
20-12-2002,201424,1
20-12-2002,201520,1
20-12-2002,201625,1
20-12-2002,201920,1
20-12-2002,202024,1
20-12-2002,202033,1
20-12-2002,202120,1
20-12-2002,202129,1
20-12-2002,202220,1
20-12-2002,202229,1
20-12-2002,202233,1
20-12-2002,202325,2
20-12-2002,202329,1
20-12-2002,202524,1
20-12-2002,202620,2
20-12-2002,202720,1
20-12-2002,202829,1
20-12-2002,202920,2
20-12-2002,203020,1
20-12-2002,203028,1
20-12-2002,203129,1
20-01-2003,200120,1
20-01-2003,200133,2
20-01-2003,200220,1
20-01-2003,200224,1
20-01-2003,200228,1
20-01-2003,200233,1
20-01-2003,200324,1
20-01-2003,200329,1
20-01-2003,200433,1
20-01-2003,200533,1
20-01-2003,200620,2
20-01-2003,200625,3
20-01-2003,200634,1
20-01-2003,200720,1
20-01-2003,200724,1
20-01-2003,200728,1
20-01-2003,200733,2
20-01-2003,200924,1
20-01-2003,201025,2
20-01-2003,201129,1
20-01-2003,201225,1
20-01-2003,201229,1
20-01-2003,201324,3
20-01-2003,201424,1
20-01-2003,201524,1
20-01-2003,201533,1
20-01-2003,201620,3
20-01-2003,201725,1
20-01-2003,201920,1
20-01-2003,201924,1
20-01-2003,201928,1
20-01-2003,202020,2
20-01-2003,202024,3
20-01-2003,202133,1
20-01-2003,202233,1
20-01-2003,202320,1
20-01-2003,202325,1
20-01-2003,202420,1
20-01-2003,202424,1
20-01-2003,202524,2
20-01-2003,202620,2
20-01-2003,202624,1
20-01-2003,202629,1
20-01-2003,202720,2
20-01-2003,202725,4
20-01-2003,202820,2
20-01-2003,202825,1
20-01-2003,202924,2
20-01-2003,202933,2
20-01-2003,203020,3
20-01-2003,203024,1
20-02-2003,200120,1
20-02-2003,200128,2
20-02-2003,200133,1
20-02-2003,200220,3
20-02-2003,200228,2
20-02-2003,200233,1
20-02-2003,200324,1
20-02-2003,200329,2
20-02-2003,200420,1
20-02-2003,200425,3
20-02-2003,200429,1
20-02-2003,200433,4
20-02-2003,200520,4
20-02-2003,200525,2
20-02-2003,200529,1
20-02-2003,200533,1
20-02-2003,200620,2
20-02-2003,200634,2
20-02-2003,200720,1
20-02-2003,200728,2
20-02-2003,200733,1
20-02-2003,200829,2
20-02-2003,200833,1
20-02-2003,200924,4
20-02-2003,200929,1
20-02-2003,200933,1
20-02-2003,201020,1
20-02-2003,201025,1
20-02-2003,201029,3
20-02-2003,201133,1
20-02-2003,201221,2
20-02-2003,201225,1
20-02-2003,201320,1
20-02-2003,201324,1
20-02-2003,201424,1
20-02-2003,201429,2
20-02-2003,201433,1
20-02-2003,201533,1
20-02-2003,201620,2
20-02-2003,201625,3
20-02-2003,201725,4
20-02-2003,201729,2
20-02-2003,201824,2
20-02-2003,201828,1
20-02-2003,201833,2
20-02-2003,201920,4
20-02-2003,201924,2
20-02-2003,201928,1
20-02-2003,201933,1
20-02-2003,202020,1
20-02-2003,202033,1
20-02-2003,202120,1
20-02-2003,202125,1
20-02-2003,202133,1
20-02-2003,202220,1
20-02-2003,202229,2
20-02-2003,202325,2
20-02-2003,202329,2
20-02-2003,202334,1
20-02-2003,202420,2
20-02-2003,202424,2
20-02-2003,202428,1
20-02-2003,202529,1
20-02-2003,202533,2
20-02-2003,202620,5
